condition,topology,validation_role,n_seeds,strong_accel_pass_rate,median_ht_slope,iqr_ht_slope,median_cliffs_delta,iqr_cliffs_delta,median_ratio_early_over_late,iqr_ratio,median_entropy_slope,iqr_entropy_slope,median_p_improve,iqr_p_improve,trend_strength,behavior_matches_expectation,population_trend_detected,explanation_confidence
baseline,random_regular,exploratory_sanity,5,0.0,0.17858828718245598,0.08996072042820635,0.04,0.015,0.8921568627450981,0.056140350877193046,0.00013629762837775127,0.0024698556772633114,0.45,0.04999999999999999,strong,False,False,inconclusive
beta_0.5_lambda_0.01_mu_0.0,random_regular,exploratory_sanity,1,0.0,0.11209492259818389,0.0,0.0,0.0,1.1296296296296295,0.0,-0.0016641993064831701,0.0,0.55,0.0,strong,False,False,inconclusive
beta_0.5_lambda_0.01_mu_0.01,random_regular,exploratory_sanity,1,0.0,0.0693690758290116,0.0,-0.0075,0.0,1.0363636363636364,0.0,-0.0006783893526342803,0.0,0.5,0.0,strong,False,False,inconclusive
beta_0.5_lambda_0.01_mu_0.05,random_regular,exploratory_sanity,1,0.0,0.061191144222113705,0.0,-0.1175,0.0,1.5,0.0,-0.001135406390795966,0.0,0.6,0.0,strong,False,False,inconclusive
beta_0.5_lambda_0.05_mu_0.0,random_regular,exploratory_sanity,1,0.0,0.15143878429002405,0.0,-0.1775,0.0,1.8,0.0,0.0020895220062072343,0.0,0.55,0.0,strong,False,False,inconclusive
beta_0.5_lambda_0.05_mu_0.01,random_regular,exploratory_sanity,1,0.0,0.13532163391469798,0.0,0.07,0.0,0.6949152542372882,0.0,0.00017114916241947376,0.0,0.4,0.0,strong,False,False,inconclusive
beta_0.5_lambda_0.05_mu_0.05,random_regular,exploratory_sanity,1,0.0,0.11698820588975764,0.0,-0.055,0.0,1.5263157894736843,0.0,-0.0004707888481989345,0.0,0.55,0.0,strong,False,False,inconclusive
beta_0.5_lambda_0.1_mu_0.0,random_regular,exploratory_sanity,1,0.0,0.1682228162890554,0.0,0.0225,0.0,0.8279569892473119,0.0,0.0025794403884148477,0.0,0.45,0.0,strong,False,False,inconclusive
beta_0.5_lambda_0.1_mu_0.01,random_regular,exploratory_sanity,1,0.0,0.07956815948276753,0.0,-0.06,0.0,0.9538461538461539,0.0,-0.0023075180791695777,0.0,0.5,0.0,strong,False,False,inconclusive
beta_0.5_lambda_0.1_mu_0.05,random_regular,exploratory_sanity,1,0.0,0.0167126432594194,0.0,-0.1875,0.0,1.7428571428571429,0.0,-0.0037374844583057303,0.0,0.7,0.0,moderate,False,False,moderate confidence
