run_id,validation_version,condition,seed,topology,episodes_total,window_early,window_late,median_early_ht,median_late_ht,ratio_early_over_late,ht_slope_theilsen,entropy_slope_theilsen,cliffs_delta_ht,mannwhitney_u_pvalue,pass_strong_per_seed_acceleration,p_improve,validation_role
v1_baseline_s1,v1,baseline,1,random_regular,100,1-20,81-100,70.0,57.0,1.2280701754385965,0.22403547458002784,0.002365445095830358,-0.1475,0.43268824710436027,False,0.75,exploratory_sanity
v1_baseline_s2,v1,baseline,2,random_regular,100,1-20,81-100,25.0,28.5,0.8771929824561403,0.07490784059286178,-0.00010441058143295355,0.0625,0.7453446114386557,False,0.45,exploratory_sanity
v1_baseline_s3,v1,baseline,3,random_regular,100,1-20,81-100,45.5,51.0,0.8921568627450981,0.1340747541518215,-0.0004726991944677996,0.0475,0.8076119536215991,False,0.4,exploratory_sanity
v1_baseline_s4,v1,baseline,4,random_regular,100,1-20,81-100,23.0,30.0,0.7666666666666667,0.17858828718245598,0.00013629762837775127,0.0325,0.8710272120126394,False,0.45,exploratory_sanity
v1_baseline_s5,v1,baseline,5,random_regular,100,1-20,81-100,35.0,37.5,0.9333333333333333,0.23127635971744895,0.005754874071334911,0.04,0.8391652309039085,False,0.5,exploratory_sanity
v1_high_decay_s1,v1,high_decay,1,random_regular,100,1-20,81-100,33.5,33.0,1.0151515151515151,0.3211911685781267,0.0035046211046587837,0.1,0.5977594679329428,False,0.5,exploratory_sanity
v1_high_decay_s2,v1,high_decay,2,random_regular,100,1-20,81-100,48.0,71.0,0.676056338028169,0.5765734641960918,0.006805885692910578,0.2175,0.24467855698058216,False,0.35,exploratory_sanity
v1_high_decay_s3,v1,high_decay,3,random_regular,100,1-20,81-100,71.0,49.0,1.4489795918367347,-0.06349533761680738,-0.006682229213431251,-0.1975,0.291423971942917,True,0.65,exploratory_sanity
v1_high_decay_s4,v1,high_decay,4,random_regular,100,1-20,81-100,50.5,29.5,1.7118644067796611,0.1416429033632357,-0.005570473053108005,-0.1025,0.5881561052471502,False,0.6,exploratory_sanity
v1_high_decay_s5,v1,high_decay,5,random_regular,100,1-20,81-100,32.0,30.0,1.0666666666666667,0.3230915757316927,-0.0002787848623744486,0.0925,0.6260850509811661,False,0.5,exploratory_sanity
