condition,topology,n_seeds,pass_rate,median_ht_slope,iqr_ht_slope,median_cliffs_delta,iqr_cliffs_delta,median_ratio_early_over_late,iqr_ratio,median_entropy_slope,iqr_entropy_slope
b0.5_l0.01_m0.0,random_regular,5,0.0,0.025476365891033602,0.007868970211058975,0.0,0.0,,,-0.00027654539634450225,7.791784356784946e-05
b0.5_l0.01_m0.001,random_regular,5,0.0,0.021147306663373982,0.0017757285005796514,0.0,0.0,,,-0.0005041663809395762,0.00025637877122474247
b0.5_l0.01_m0.01,random_regular,5,0.0,0.02394622464154353,0.022358512255206145,0.0,0.0,,,-0.00047396093947110746,0.001012660605108818
b0.5_l0.01_m0.05,random_regular,5,0.0,0.03720135029276783,0.006801883828185307,0.0,0.0,,,-0.00019429500480731777,0.00034829429593035495
b0.5_l0.05_m0.0,random_regular,5,0.0,0.014318739491641691,0.022915193572231818,0.0,0.0,,,-0.0003788698551079095,0.0001453910492526673
b0.5_l0.05_m0.001,random_regular,5,0.0,0.02415865026738743,0.018300502615038315,0.0,0.0,,,-0.00077120861932388,0.0008274579241669071
b0.5_l0.05_m0.01,random_regular,5,0.0,0.03470382059787246,0.012037199776323948,0.0,0.0,,,-2.7993004858165236e-05,1.387991778145758e-05
b0.5_l0.05_m0.05,random_regular,5,0.0,0.0312905180533696,0.004387227811926232,0.0,0.0,,,-0.0005291952042459794,0.00047455001260440815
b0.5_l0.1_m0.0,random_regular,5,0.0,0.0017205748749189844,0.0075215784417354695,0.0,0.0,,,-0.0004757329903817922,0.0008054852598294956
b0.5_l0.1_m0.001,random_regular,5,0.0,0.028443982536150315,0.013056006779061664,0.0,0.0,,,-0.00032575305812508745,5.923725500441067e-05
b0.5_l0.1_m0.01,random_regular,5,0.0,0.025272753058492005,0.010250000136191928,0.0,0.0,,,-0.0005267819562064741,0.0003882121525420545
b0.5_l0.1_m0.05,random_regular,5,0.0,0.02958567228086699,0.012088138095939605,0.0,0.0,,,-0.00022873620883733637,0.00044021520773375927
b1.0_l0.01_m0.0,random_regular,5,0.0,0.01723900736413108,0.00920813062750129,0.0,0.0,,,-0.000514537126575606,0.0004097036702406764
b1.0_l0.01_m0.001,random_regular,5,0.0,0.07544677414080368,0.05473291443390555,0.0,0.0,,,-8.901581840371043e-05,0.0005837958294368469
b1.0_l0.01_m0.01,random_regular,5,0.0,0.030321698095459836,0.03694150404063691,0.0,0.0,,,-0.0006277980388668205,0.0008263333644095902
b1.0_l0.01_m0.05,random_regular,5,0.0,0.039381763509563385,0.014007980685105927,0.0,0.0,,,-0.00037015554581800787,0.00036947450482642367
b1.0_l0.05_m0.0,random_regular,5,0.0,-0.004276204354827036,0.005860265828613597,0.0,0.0,,,-0.00012335484155696737,0.0006975581069908447
b1.0_l0.05_m0.001,random_regular,5,0.0,0.03632604071021436,0.03608494000555388,0.0,0.0,,,-0.00015245749410923413,0.0007523565613100697
