run_id,validation_version,condition,seed,topology,episodes_total,window_early,window_late,median_early_ht,median_late_ht,ratio_early_over_late,ht_slope_theilsen,entropy_slope_theilsen,cliffs_delta_ht,mannwhitney_u_pvalue,pass_acceleration
v2_baseline_s1,v2,baseline,1,random_regular,1000,1-200,801-1000,43.5,35.5,1.2253521126760563,0.015632072095177845,-0.0005271714144347048,-0.079725,0.16793478111820315,False
v2_baseline_s10,v2,baseline,10,random_regular,1000,1-200,801-1000,39.0,47.0,0.8297872340425532,0.022515109269052987,-0.0005097149085742281,0.019875,0.7312899708854894,False
v2_baseline_s11,v2,baseline,11,random_regular,1000,1-200,801-1000,59.5,54.0,1.1018518518518519,0.012138911184405939,-6.345473992096553e-05,-0.0247,0.6694315941481843,False
v2_baseline_s12,v2,baseline,12,random_regular,1000,1-200,801-1000,38.0,47.0,0.8085106382978723,0.019042551973319312,-0.0001973012052698165,0.09795,0.09021173434448237,False
v2_baseline_s13,v2,baseline,13,random_regular,1000,1-200,801-1000,42.5,62.0,0.6854838709677419,0.02515705392203986,7.366307800601345e-05,0.11675,0.04344374698148684,False
v2_baseline_s14,v2,baseline,14,random_regular,1000,1-200,801-1000,44.0,54.0,0.8148148148148148,0.03072435592479798,-5.4092348710860436e-05,0.05835,0.31295152324172215,False
v2_baseline_s15,v2,baseline,15,random_regular,1000,1-200,801-1000,45.5,40.0,1.1375,0.009038308017030925,-0.00021361377405026242,-0.093,0.10772705146232411,False
v2_baseline_s16,v2,baseline,16,random_regular,1000,1-200,801-1000,40.5,35.0,1.1571428571428573,0.01666145479240862,-0.000301591720153299,-0.070975,0.21961778169535873,False
v2_baseline_s17,v2,baseline,17,random_regular,1000,1-200,801-1000,45.5,43.0,1.058139534883721,0.02857971808077005,0.00016289783840347795,-0.009375,0.8714904291044294,False
v2_baseline_s18,v2,baseline,18,random_regular,1000,1-200,801-1000,38.0,41.0,0.926829268292683,0.028339975887347223,-3.400539010583842e-05,0.045625,0.4301530880030435,False
v2_baseline_s19,v2,baseline,19,random_regular,1000,1-200,801-1000,43.0,47.0,0.9148936170212766,0.028115164930208103,-8.233186897379709e-05,0.048675,0.3999688174246602,False
v2_baseline_s2,v2,baseline,2,random_regular,1000,1-200,801-1000,32.0,40.0,0.8,0.027633111718787937,9.024507914812026e-05,0.099025,0.08674637319550642,False
v2_baseline_s20,v2,baseline,20,random_regular,1000,1-200,801-1000,50.0,43.0,1.1627906976744187,0.02482583439609539,-0.00024550626280135033,-0.077925,0.17770702571896024,False
v2_baseline_s21,v2,baseline,21,random_regular,1000,1-200,801-1000,49.0,61.5,0.7967479674796748,0.023926898895703538,-0.0004769627809226001,0.082,0.15613720912310802,False
v2_baseline_s22,v2,baseline,22,random_regular,1000,1-200,801-1000,68.5,46.5,1.4731182795698925,0.017711251321954107,-0.0003505274573532352,-0.129975,0.02456482114204319,False
v2_baseline_s23,v2,baseline,23,random_regular,1000,1-200,801-1000,43.0,39.5,1.0886075949367089,0.01904491406783213,-0.00010120906895146606,0.0632,0.2743170097147257,False
v2_baseline_s24,v2,baseline,24,random_regular,1000,1-200,801-1000,40.0,46.0,0.8695652173913043,0.02107119994642972,0.00013557937881773687,-0.0036,0.9506827613717408,False
v2_baseline_s25,v2,baseline,25,random_regular,1000,1-200,801-1000,41.0,34.0,1.2058823529411764,0.01858133603255443,-0.00030707293997064177,-0.05285,0.36074272744706926,False
v2_baseline_s26,v2,baseline,26,random_regular,1000,1-200,801-1000,49.0,39.0,1.2564102564102564,0.025333005668816685,-0.00019262800595108313,-0.0916,0.11313595363764824,False
v2_baseline_s27,v2,baseline,27,random_regular,1000,1-200,801-1000,50.5,40.0,1.2625,0.009141151972513518,-0.00029405906972076247,-0.051075,0.3771177125694798,False
v2_baseline_s28,v2,baseline,28,random_regular,1000,1-200,801-1000,44.5,44.0,1.0113636363636365,0.01312623663175888,-0.0004337695011501401,-0.01195,0.8365486569584374,False
v2_baseline_s29,v2,baseline,29,random_regular,1000,1-200,801-1000,48.0,39.5,1.2151898734177216,-0.00704653436935462,-0.00041595828041581976,-0.04265,0.46085661205159856,False
v2_baseline_s3,v2,baseline,3,random_regular,1000,1-200,801-1000,39.5,50.5,0.7821782178217822,0.032738389551042246,-0.0004060780934882403,0.058975,0.30778857547086724,False
v2_baseline_s30,v2,baseline,30,random_regular,1000,1-200,801-1000,56.0,53.5,1.0467289719626167,0.03478328285530191,-0.00017415977639912342,0.0161,0.7809350020580397,False
v2_baseline_s4,v2,baseline,4,random_regular,1000,1-200,801-1000,42.0,42.0,1.0,0.02030938299651354,0.0001433901138447374,-0.0108,0.852118604497774,False
v2_baseline_s5,v2,baseline,5,random_regular,1000,1-200,801-1000,46.0,42.5,1.0823529411764705,0.013966923361551743,-0.0005613021107469575,-0.04965,0.3905995550080542,False
v2_baseline_s6,v2,baseline,6,random_regular,1000,1-200,801-1000,52.0,41.5,1.2530120481927711,0.031908066371836324,-0.0004426838738788652,-0.0511,0.37687925460999083,False
v2_baseline_s7,v2,baseline,7,random_regular,1000,1-200,801-1000,49.0,50.0,0.98,0.030794410762440324,-7.69505212235637e-05,-0.0153,0.7915575423728534,False
v2_baseline_s8,v2,baseline,8,random_regular,1000,1-200,801-1000,42.5,38.0,1.118421052631579,0.018672989922150482,-0.0003208415621749883,-0.0412,0.4762453741818131,False
v2_baseline_s9,v2,baseline,9,random_regular,1000,1-200,801-1000,45.5,36.0,1.2638888888888888,0.026548514162524028,-0.00015307747887756707,-0.059925,0.3000493220443007,False
v2_high_decay_s1,v2,high_decay,1,random_regular,1000,1-200,801-1000,47.0,40.0,1.175,0.026626213093086486,-0.00028922031458605493,-0.03755,0.516211175395336,False
v2_high_decay_s10,v2,high_decay,10,random_regular,1000,1-200,801-1000,42.5,39.5,1.0759493670886076,0.024160350410668132,-0.00029183381343725323,-0.0317,0.5836728431044284,False
v2_high_decay_s11,v2,high_decay,11,random_regular,1000,1-200,801-1000,67.0,79.5,0.8427672955974843,0.027801413615041525,-5.79775799065544e-05,0.05715,0.3230155520298337,False
v2_high_decay_s12,v2,high_decay,12,random_regular,1000,1-200,801-1000,47.0,47.0,1.0,0.029877476335814508,-0.00022443495994112176,0.00255,0.9651568994427525,False
v2_high_decay_s13,v2,high_decay,13,random_regular,1000,1-200,801-1000,46.5,59.5,0.7815126050420168,0.047650441134899774,4.813898274237307e-05,0.0903,0.11831228925009972,False
