episode,start_node,final_node,hitting_time,entropy,num_transitions
0,33,0,963,1.6094379124291003,5
1,39,42,1383,2.0431918705371204,9
2,3,42,5901,3.550250017965948,40
3,61,16,150,1.0986122886651097,3
4,56,16,1991,2.5232109529398907,15
5,36,16,342,1.3862943611158907,4
6,91,81,3980,3.3524698782394617,36
7,69,98,4265,3.0351414327703696,28
8,6,0,6610,3.790661938752103,57
9,52,81,6237,3.2103913397623893,31
10,7,0,2311,2.484906649776,12
11,47,81,736,2.197224577327219,9
12,53,0,3525,2.751666616915516,17
13,60,81,6722,3.5317496288789423,41
14,55,16,2825,2.363921103271948,17
15,29,51,10000,3.7964535881786055,63
16,27,42,2678,2.772588722223781,16
17,18,81,8815,3.909505314020782,60
18,92,98,2272,2.639057329601259,14
19,15,16,215,-1.000088900581841e-12,1
20,16,16,0,0.0,0
21,17,0,4860,3.4858315997982245,39
22,39,42,1502,2.540036303807981,14
23,0,0,0,0.0,0
24,58,81,7692,3.8636247998616766,57
25,35,98,127,-1.000088900581841e-12,1
26,27,51,10000,4.137960977987407,68
27,50,47,10000,4.079582730587152,71
28,45,81,4002,3.2058057100637476,32
29,75,81,4579,3.128620949955629,34
30,64,98,196,1.0986122886651097,3
31,50,81,7014,3.74504940701088,45
32,14,16,8492,4.003766425393112,65
33,32,98,3809,3.044820482442576,26
34,49,42,1657,2.5993019270857944,16
35,35,98,2,-1.000088900581841e-12,1
36,53,0,122,0.6931471805579453,2
37,34,98,1461,1.5607104090364066,6
38,73,16,2437,3.044522437702424,21
39,1,13,10000,3.9307502412262143,71
40,31,42,4707,2.813355404483615,18
41,88,42,326,1.3862943611158907,4
42,90,0,1455,2.484906649776,12
43,49,16,4955,2.912494403312053,21
44,33,16,3383,3.0149468801585937,23
45,17,98,4371,3.2663306919268704,34
46,93,16,1137,1.9061547465328494,8
47,25,98,3180,3.092193481923559,29
48,0,0,0,0.0,0
49,95,42,352,1.0986122886651097,3
50,9,16,4906,3.2580965379954825,26
51,0,0,0,0.0,0
52,1,81,1966,2.9785084205072385,21
53,25,42,1894,2.2450352741161774,13
54,60,81,4141,3.0280290732864104,22
55,79,81,2134,2.751666616915516,17
56,96,81,2987,2.7363390510890655,18
57,62,98,3828,3.2958368659773285,27
58,36,42,255,0.6931471805579453,2
59,49,16,1022,1.6094379124291003,5
60,53,98,3660,2.947004770141297,24
61,83,16,1426,1.0986122886651097,3
62,91,70,10000,3.9429058217503465,71
63,7,98,3743,3.5065025850265608,36
64,35,42,5741,3.244454041235864,33
65,26,81,6345,3.7002574627494997,56
66,45,16,2855,2.5993019270857944,16
67,57,16,6154,3.547917470095499,50
68,36,81,2310,2.094729047518648,12
69,60,17,10000,3.9065117771000244,55
70,6,98,5428,3.5155926589389503,40
71,4,0,4183,3.098139496330803,26
72,7,0,8595,3.959477872458816,68
73,68,98,3608,2.6235217562558093,21
74,36,42,8509,3.8977607920910886,61
75,15,0,4252,3.231462790158108,38
76,61,16,7833,3.783607104130143,54
77,15,16,60,-1.000088900581841e-12,1
78,67,42,89,-1.000088900581841e-12,1
79,81,81,0,0.0,0
80,40,42,1631,2.639057329601259,14
81,97,0,3636,3.135494215906149,23
82,97,42,7813,3.9517909046465363,61
83,40,98,18,-1.000088900581841e-12,1
84,71,81,1085,1.791759469222055,6
85,58,0,2747,2.7184734013140126,20
86,46,0,192,-1.000088900581841e-12,1
87,10,16,4532,3.299829685639092,31
88,8,42,5085,3.444813797459462,34
89,81,81,0,0.0,0
90,74,0,1749,2.7080502010872096,15
91,46,0,418,1.0986122886651097,3
92,77,16,2895,2.838988933136699,22
93,50,0,3430,2.9970687270680187,25
94,66,57,10000,3.9506776796065255,66
95,22,66,10000,3.9841010870069398,73
96,86,42,502,0.6931471805579453,2
97,51,81,1867,2.220025327823538,16
98,52,0,398,1.3862943611158907,4
99,82,42,4567,3.335770806415738,32
