episode,start_node,final_node,hitting_time,entropy,num_transitions
0,33,0,962,1.6094379124291003,5
1,56,98,1432,2.3025850929840455,10
2,87,0,2628,2.588573162668117,17
3,47,0,4110,3.3632670703367626,34
4,17,42,3658,3.4544986414005443,33
5,83,16,6390,3.5029306585279945,50
6,90,42,385,1.7478680974607577,7
7,13,16,9664,4.009200090926317,81
8,10,81,2062,1.9061547465328494,8
9,37,42,3236,3.163424050399405,25
10,45,0,6855,3.7450494070108795,45
11,16,16,0,0.0,0
12,70,81,6285,3.430313456117072,41
13,78,0,3259,3.052520501511814,25
14,90,81,8470,3.901575408441301,56
15,34,98,478,1.0986122886651097,3
16,19,98,4638,3.6635616460906473,39
17,35,98,89,-1.000088900581841e-12,1
18,68,81,2666,2.926417555478996,20
19,80,81,4270,3.328471881301735,33
20,74,42,2436,3.1224245983090615,27
21,79,0,9817,4.134556499447594,76
22,57,0,1822,2.7363390510890655,18
23,66,20,10000,4.166760729988572,84
24,9,81,2886,2.902002313186603,22
25,70,70,10000,4.052215823945389,78
26,39,0,1092,2.3693821196836757,12
27,0,0,0,0.0,0
28,28,42,3503,3.16498553775291,28
29,85,81,189,1.0986122886651097,3
30,46,0,8038,3.8453283682546777,58
31,8,16,7416,4.084632441880585,66
32,56,16,2334,2.813355404483615,18
33,97,98,239,1.3862943611158907,4
34,76,81,753,1.6094379124291003,5
35,53,16,2118,2.5232109529398907,15
36,50,81,3311,3.4124897213676073,33
37,89,0,796,1.9061547465328494,8
38,50,0,3010,3.2580965379954825,26
39,39,47,10000,4.054567747922976,78
40,21,0,2352,1.7478680974607577,7
41,99,42,3819,3.134162458562648,28
42,6,42,544,0.6931471805579453,2
43,76,16,272,0.6931471805579453,2
44,9,16,2653,2.3025850929840455,10
45,29,81,7612,3.9326102200384465,60
46,5,42,9090,4.023174011760597,70
47,66,81,1740,2.772588722223781,16
48,38,16,1481,2.4583113296710835,13
49,15,16,58,-1.000088900581841e-12,1
50,1,98,198,1.0986122886651097,3
51,17,16,1553,2.3025850929840455,10
52,43,81,1396,1.9459101490483135,7
53,78,98,3987,3.090459923593197,27
54,78,98,140,1.0986122886651097,3
55,61,42,6096,3.6267961254973047,53
56,92,0,2837,2.588573162668117,17
57,53,98,2933,2.846480386116867,21
58,44,81,3291,2.8332133440392155,17
59,83,25,10000,4.428254756208769,93
60,76,16,6173,3.7080940606975394,46
61,40,98,2832,3.0910424533363146,22
62,56,81,134,1.0986122886651097,3
63,88,42,196,1.0986122886651097,3
64,64,81,1330,2.3978952727873706,11
65,96,42,4326,3.330230943693402,39
66,61,42,1007,1.791759469222055,6
67,37,16,840,1.6094379124291003,5
68,21,16,5554,3.762928606395865,50
69,26,50,10000,3.760608085149049,68
70,37,21,10000,3.7876680610723015,65
71,3,42,1143,1.0986122886651097,3
72,77,0,528,1.791759469222055,6
73,24,16,4532,3.5783238363141483,41
74,14,81,828,1.0986122886651097,3
75,93,81,352,1.0986122886651097,3
76,70,42,2885,3.2444926303812958,27
77,43,98,449,1.0986122886651097,3
78,20,16,9466,4.048239870937148,73
79,31,16,1780,2.4583113296710835,13
80,9,98,1353,2.3046193848096714,14
81,4,98,274,1.6094379124291003,5
82,18,0,1194,2.540036303807981,14
83,74,44,10000,4.114164940508061,75
84,18,98,1019,2.3978952727873706,11
85,88,81,4023,2.9808777308704797,31
86,32,42,3842,3.1154750248567713,28
87,45,16,3657,3.3203623230096753,37
88,20,16,9475,3.9965448860815753,78
89,44,98,2934,2.625048158717539,19
90,26,98,985,1.9459101490483135,7
91,77,98,1454,2.4583113296710835,13
92,9,42,5295,3.6979142157259046,48
93,99,42,104,0.6931471805579453,2
94,7,16,9348,4.070220448963335,75
95,25,0,3913,3.1202915652782837,24
96,86,0,151,0.6931471805579453,2
97,91,0,1122,2.3978952727873706,11
98,30,81,689,1.791759469222055,6
99,87,42,1157,1.8891591637470215,9
