episode,start_node,final_node,hitting_time,entropy,num_transitions
0,33,0,963,1.6094379124291003,5
1,39,42,1383,2.0431918705371204,9
2,3,42,5901,3.550250017965948,40
3,61,16,150,1.0986122886651097,3
4,56,16,1991,2.5232109529398907,15
5,36,16,342,1.3862943611158907,4
6,91,81,3980,3.3524698782394617,36
7,69,98,4265,3.0351414327703696,28
8,6,0,6610,3.790661938752103,57
9,52,81,6237,3.2103913397623893,31
10,7,0,2311,2.484906649776,12
11,47,81,736,2.197224577327219,9
12,53,0,3525,2.751666616915516,17
13,60,42,6219,3.3723769710756173,40
14,42,42,0,0.0,0
15,8,81,906,1.9061547465328494,8
16,12,16,2069,2.197224577327219,9
17,45,16,351,1.3862943611158907,4
18,29,51,10000,3.7964535881786055,63
19,27,42,2678,2.772588722223781,16
20,18,81,8815,3.909505314020782,60
21,92,98,2272,2.639057329601259,14
22,15,16,215,-1.000088900581841e-12,1
23,16,16,0,0.0,0
24,17,0,4860,3.4858315997982245,39
25,39,81,7241,3.7110471077366913,55
26,84,98,468,1.3862943611158907,4
27,89,0,83,-1.000088900581841e-12,1
28,61,0,2432,2.838988933136699,22
29,34,42,6698,3.544511778726858,41
30,49,0,659,1.6094379124291003,5
31,97,81,411,1.6094379124291003,5
32,9,42,1644,2.484906649776,12
33,54,16,2224,2.639057329601259,14
34,51,0,3709,3.43652283050428,35
35,78,0,748,1.3862943611158907,4
36,27,81,544,1.3862943611158907,4
37,20,42,2183,2.3025850929840455,10
38,68,16,1100,2.079441541671836,8
39,56,16,3592,3.120952993885687,31
40,52,42,2849,2.772588722223781,16
41,17,61,10000,4.036027569086533,68
42,69,81,1192,2.019814992484946,11
43,93,49,10000,4.161001276843784,80
44,31,0,1011,2.079441541671836,8
45,92,98,1868,2.3693821196836757,12
46,73,16,2437,3.044522437702424,21
47,1,13,10000,3.9307502412262143,71
48,31,42,4707,2.813355404483615,18
49,88,42,326,1.3862943611158907,4
50,90,0,1455,2.484906649776,12
51,49,16,4955,2.912494403312053,21
52,33,16,3383,3.0149468801585937,23
53,17,98,4371,3.2663306919268704,34
54,93,16,1137,1.9061547465328494,8
55,25,98,3180,3.092193481923559,29
56,0,0,0,0.0,0
57,95,42,352,1.0986122886651097,3
58,9,16,4906,3.2580965379954825,26
59,0,0,0,0.0,0
60,1,81,1966,2.9785084205072385,21
61,25,81,6323,3.4368689714688543,39
62,71,98,9550,3.8707731314642913,63
63,63,81,5643,3.370480801334671,33
64,54,0,770,1.0986122886651097,3
65,11,56,10000,4.084956471148567,77
66,10,98,2805,3.1202915652782837,24
67,35,42,5741,3.244454041235864,33
68,26,0,3372,3.363267070336762,34
69,39,42,5083,3.4294862316330113,36
70,99,16,1604,2.4307913288662317,15
71,6,81,3996,3.3322045101472035,28
72,27,42,1298,2.1458417525857545,11
73,36,81,2310,2.094729047518648,12
74,60,17,10000,3.9065117771000244,55
75,6,98,5428,3.5155926589389503,40
76,4,0,4183,3.098139496330803,26
77,7,0,8595,3.959477872458816,68
78,68,98,3608,2.6235217562558093,21
79,36,42,8509,3.8977607920910886,61
80,15,0,4252,3.231462790158108,38
81,61,16,7833,3.783607104130143,54
82,15,16,60,-1.000088900581841e-12,1
83,67,42,89,-1.000088900581841e-12,1
84,81,81,0,0.0,0
85,40,42,1631,2.639057329601259,14
86,97,0,3636,3.135494215906149,23
87,97,0,4182,3.2826939972510645,28
88,94,98,3762,3.467994408329786,36
89,13,87,10000,3.877931145337117,68
90,44,42,3529,3.204777524107256,26
91,81,81,0,0.0,0
92,74,0,1749,2.7080502010872096,15
93,46,0,418,1.0986122886651097,3
94,77,37,10000,4.15224809952403,79
95,98,98,0,0.0,0
96,41,42,9,-1.000088900581841e-12,1
97,31,0,1368,1.9061547465328494,8
98,30,16,1536,2.3025850929840455,10
99,97,81,1640,1.791759469222055,6
