run_id,validation_version,condition,seed,topology,n_nodes,degree,episode_idx,hitting_time,path_entropy,accepted_moves,attempted_moves,accept_rate,start_node,final_node
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,0,30,2.1639556568730565,10,30,0.3333333333333333,33,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,1,121,3.467994408329786,36,121,0.2975206611570248,33,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,2,27,2.61563057701355,15,27,0.5555555555555556,92,98
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,3,55,2.670119889791817,17,55,0.3090909090909091,8,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,4,37,2.1639556568730565,10,37,0.2702702702702703,70,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,5,16,1.0986122886651095,3,16,0.1875,88,42
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,6,26,1.9061547465328492,8,26,0.3076923076923077,10,98
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,7,122,3.54603493136854,46,122,0.3770491803278688,46,42
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,8,7,1.0986122886651095,3,7,0.42857142857142855,86,98
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,9,0,0.0,0,0,,0,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,10,18,2.0431918705371204,9,18,0.5,63,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,11,0,0.0,0,0,,81,81
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,12,77,3.1931483947852626,27,77,0.35064935064935066,14,42
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,13,13,1.791759469222055,6,13,0.46153846153846156,10,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,14,17,1.277034259462139,7,17,0.4117647058823529,53,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,15,37,2.736339051089065,18,37,0.4864864864864865,45,81
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,16,81,3.163424050399405,25,81,0.30864197530864196,72,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,17,91,3.370480801334671,33,91,0.3626373626373626,63,42
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,18,96,3.409263548377698,41,96,0.4270833333333333,43,42
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,19,84,3.3524698782394617,36,84,0.42857142857142855,24,42
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,20,136,3.785654653279032,51,136,0.375,39,81
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,21,85,3.260918854185786,36,85,0.4235294117647059,96,0
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,22,246,4.484567145614674,110,246,0.44715447154471544,55,81
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,23,106,3.768367728570317,46,106,0.4339622641509434,27,98
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,24,87,3.3176975995541462,35,87,0.40229885057471265,32,98
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,25,42,2.3516733018936304,13,42,0.30952380952380953,91,16
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,26,64,3.151458510219029,26,64,0.40625,86,98
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,27,70,3.0149468801585937,23,70,0.32857142857142857,87,16
v1_beta_1.0_lambda_0.05_mu_0.0_s42,v1,beta_1.0_lambda_0.05_mu_0.0,42,random_regular,100,4,28,39,2.3383717047925723,15,39,0.38461538461538464,66,98
