run_id,validation_version,condition,seed,topology,n_nodes,degree,episode_idx,hitting_time,path_entropy,accepted_moves,attempted_moves,accept_rate,start_node,final_node
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,0,51,2.1458417525857545,11,51,0.21568627450980393,92,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,1,22,1.0986122886651095,3,22,0.13636363636363635,79,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,2,67,2.441015278014703,14,67,0.208955223880597,65,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,3,11,1.3862943611158909,4,11,0.36363636363636365,12,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,4,331,4.218412507322722,83,331,0.25075528700906347,51,89
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,5,39,1.8891591637470213,9,39,0.23076923076923078,41,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,6,62,2.9957322735339904,20,62,0.3225806451612903,47,89
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,7,187,3.761660727552022,47,187,0.25133689839572193,0,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,8,26,2.0253262207620675,10,26,0.38461538461538464,56,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,9,18,1.3862943611158909,4,18,0.2222222222222222,31,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,10,4,-1.000088900581841e-12,1,4,0.25,66,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,11,200,3.647231077213384,48,200,0.24,42,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,12,92,3.1418041591892294,27,92,0.29347826086956524,90,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,13,108,3.0047670351869598,24,108,0.2222222222222222,28,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,14,134,3.3911582003720584,38,134,0.2835820895522388,98,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,15,187,3.544511778726858,41,187,0.2192513368983957,9,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,16,33,2.1458417525857545,11,33,0.3333333333333333,81,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,17,73,2.602380779917482,22,73,0.3013698630136986,86,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,18,77,2.5993019270857944,16,77,0.2077922077922078,24,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,19,104,2.9650156932365066,22,104,0.21153846153846154,52,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,20,1,-1.000088900581841e-12,1,1,1.0,35,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,21,98,2.98777145240013,27,98,0.2755102040816326,50,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,22,636,4.6049466245166855,145,636,0.2279874213836478,13,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,23,166,3.389268031515795,31,166,0.18674698795180722,60,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,24,17,0.6931471805579453,2,17,0.11764705882352941,24,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,25,10,0.6931471805579453,2,10,0.2,23,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,26,180,3.5034298514645283,47,180,0.2611111111111111,63,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,27,13,1.0986122886651095,3,13,0.23076923076923078,61,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,28,44,1.9061547465328492,8,44,0.18181818181818182,38,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,29,215,3.621412350279243,47,215,0.2186046511627907,56,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,30,15,1.0986122886651095,3,15,0.2,0,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,31,0,0.0,0,0,,33,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,32,120,2.9206870268736407,25,120,0.20833333333333334,48,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,33,62,2.5649493574485365,13,62,0.20967741935483872,96,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,34,116,3.0904599235931967,27,116,0.23275862068965517,11,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,35,81,2.954673212284816,23,81,0.2839506172839506,56,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,36,244,3.5636428037030967,44,244,0.18032786885245902,19,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,37,43,2.3978952727873706,11,43,0.2558139534883721,30,89
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,38,30,1.5498260458732018,7,30,0.23333333333333334,66,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,39,3,0.6931471805579453,2,3,0.6666666666666666,57,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,40,190,3.614182604033629,47,190,0.24736842105263157,88,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,41,60,2.926417555478996,20,60,0.3333333333333333,99,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,42,54,2.019814992484946,11,54,0.2037037037037037,27,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,43,75,2.6593226976945163,18,75,0.24,65,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,44,175,3.4124897213676078,33,175,0.18857142857142858,59,89
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,45,196,3.757161193054377,57,196,0.29081632653061223,62,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,46,20,1.3862943611158909,4,20,0.2,38,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,47,440,4.349151793937057,101,440,0.22954545454545455,28,95
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,48,138,3.367295829957475,29,138,0.21014492753623187,14,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,49,14,1.0986122886651095,3,14,0.21428571428571427,15,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,50,13,1.3321790402061222,5,13,0.38461538461538464,32,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,51,106,3.062529300232621,24,106,0.22641509433962265,49,80
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,52,284,3.71513822411929,53,284,0.18661971830985916,10,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,53,57,2.3978952727873706,11,57,0.19298245614035087,59,33
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,54,7,-1.000088900581841e-12,1,7,0.14285714285714285,47,3
v2_b1.5_l0.05_m0.05_s2,v2,b1.5_l0.05_m0.05,2,random_regular,100,4,55,582,4.385373932541898,133,582,0.22852233676975944,4,80
