run_id,validation_version,condition,seed,topology,n_nodes,degree,episode_idx,hitting_time,path_entropy,accepted_moves,attempted_moves,accept_rate,start_node,final_node
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,0,296,4.357007248888035,114,296,0.38513513513513514,79,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,1,156,3.958791821055205,63,156,0.40384615384615385,31,77
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,2,147,3.759111692497577,56,147,0.38095238095238093,23,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,3,157,3.361908713615984,36,157,0.22929936305732485,2,51
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,4,192,3.660359470530071,59,192,0.3072916666666667,67,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,5,1137,5.213395889642896,440,1137,0.38698328935795956,63,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,6,21,2.1639556568730565,10,21,0.47619047619047616,73,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,7,20,1.3862943611158909,4,20,0.2,78,77
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,8,348,4.423447379319371,138,348,0.39655172413793105,30,97
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,9,170,3.718944896455376,56,170,0.32941176470588235,94,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,10,63,3.044820482442576,26,63,0.4126984126984127,18,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,11,0,0.0,0,0,,48,48
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,12,282,4.152438512960274,95,282,0.33687943262411346,36,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,13,179,4.015336452639712,62,179,0.3463687150837989,96,77
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,14,413,4.564113621035962,150,413,0.36319612590799033,89,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,15,0,0.0,0,0,,48,48
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,16,224,4.067742045420317,92,224,0.4107142857142857,4,48
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,17,76,3.052520501511814,25,76,0.32894736842105265,10,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,18,9,1.0986122886651095,3,9,0.3333333333333333,13,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,19,148,3.872804591857546,57,148,0.38513513513513514,52,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,20,164,3.86566592398464,53,164,0.3231707317073171,10,48
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,21,84,3.363267070336762,34,84,0.40476190476190477,17,48
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,22,91,3.319492576126754,29,91,0.31868131868131866,29,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,23,92,3.5157396511377024,35,92,0.3804347826086957,69,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,24,64,3.0280290732864104,22,64,0.34375,6,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,25,194,4.035357964530192,77,194,0.39690721649484534,17,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,26,45,3.1154750248567717,28,45,0.6222222222222222,80,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,27,366,4.6219361986011815,159,366,0.4344262295081967,47,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,28,11,1.3862943611158909,4,11,0.36363636363636365,99,51
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,29,30,2.302585092984045,10,30,0.3333333333333333,75,97
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,30,296,4.178138179486792,110,296,0.3716216216216216,16,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,31,290,4.450861972602572,107,290,0.3689655172413793,30,48
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,32,100,3.427639630926845,38,100,0.38,16,48
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,33,216,4.06015721783938,77,216,0.35648148148148145,46,77
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,34,3,0.6931471805579453,2,3,0.6666666666666666,24,97
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,35,398,4.595045408636015,152,398,0.38190954773869346,75,77
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,36,10000,-1.000088900581841e-12,3539,10000,0.3539,62,62
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,37,86,3.3445488585774434,31,86,0.36046511627906974,79,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,38,20,1.3862943611158909,4,20,0.2,88,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,39,27,2.302585092984045,10,27,0.37037037037037035,3,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,40,97,3.3861134216208097,37,97,0.38144329896907214,36,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,41,330,4.496257494352781,137,330,0.41515151515151516,75,77
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,42,62,2.947004770141297,24,62,0.3870967741935484,44,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,43,63,3.3445488585774434,31,63,0.49206349206349204,79,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,44,68,3.1780538303239454,24,68,0.35294117647058826,24,48
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,45,6,-1.000088900581841e-12,1,6,0.16666666666666666,64,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,46,294,4.221314164381434,96,294,0.32653061224489793,63,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,47,400,4.650846882885706,144,400,0.36,81,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,48,68,3.1239385094141774,30,68,0.4411764705882353,52,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,49,39,2.3516733018936304,13,39,0.3333333333333333,37,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,50,415,4.600383237744316,145,415,0.3493975903614458,46,45
v2_erdos_renyi_no_evolution_s19,v2,erdos_renyi_no_evolution,19,erdos_renyi,100,4,51,178,4.0457021944815565,69,178,0.38764044943820225,28,45
